,order_id,product_id_ord,order_amount,day_of_week,quality_assessment,region,number_product
0,1,76,3479.8189685617717,0,6,Moscow,9
1,2,98,796.1216275524662,0,1,Moscow region,12
2,3,5,635.7663952132939,0,2,Leningrad region,11
3,4,85,5357.659968395543,1,6,Sverdlovsk region,8
4,5,67,30.19304199674977,0,3,Novosibirsk region,7
5,6,60,3209.275411902527,0,2,Moscow,2
6,7,20,868.5765842056575,0,5,Moscow region,1
7,8,40,16862.020253670034,1,7,Leningrad region,14
8,9,27,995.4748195382215,0,3,Sverdlovsk region,2
9,10,84,228.79879303505825,0,3,Novosibirsk region,6
10,11,5,635.7663952132939,0,3,Moscow,4
11,12,43,4529.601785201896,1,5,Moscow region,1
12,13,67,30.19304199674977,0,1,Leningrad region,8
13,14,52,2884.931130543534,0,6,Sverdlovsk region,8
14,15,91,2377.0415503557633,0,6,Novosibirsk region,12
15,16,33,4806.03792245232,1,9,Moscow,1
16,17,87,3288.7307590781784,0,5,Moscow region,7
17,18,51,2626.6788336699783,0,2,Leningrad region,2
18,19,74,15803.664670503786,1,6,Sverdlovsk region,11
19,20,18,9425.1432212045,1,9,Novosibirsk region,6
20,21,25,8267.099390506328,1,9,Moscow,6
21,22,54,131.76052473491197,0,6,Moscow region,1
22,23,62,11932.268584253756,1,8,Leningrad region,12
23,24,72,19776.443678516436,1,5,Sverdlovsk region,12
24,25,43,4529.601785201896,1,3,Novosibirsk region,13
25,26,65,201.01729424773487,0,6,Moscow,9
26,27,44,5984.022234825102,1,7,Moscow region,2
27,28,9,4944.032213587976,1,8,Leningrad region,2
28,29,23,1359.1018453504219,0,5,Sverdlovsk region,8
29,30,56,2852.9518771096864,0,3,Novosibirsk region,12
30,31,35,1123.91035220221,0,6,Moscow,6
31,32,22,8658.54681068168,1,5,Moscow region,1
32,33,80,2841.394938277023,0,1,Leningrad region,11
33,34,66,1510.729934348859,0,4,Sverdlovsk region,14
34,35,18,9425.1432212045,1,5,Novosibirsk region,4
35,36,91,2377.0415503557633,0,4,Moscow,9
36,37,82,1729.5199502744192,0,3,Moscow region,1
37,38,2,3351.826048509307,0,6,Leningrad region,8
38,39,1,3440.1265150597756,0,1,Sverdlovsk region,14
39,40,97,8363.97247601507,1,6,Novosibirsk region,13
40,41,83,225.93281829143814,0,4,Moscow,14
41,42,95,10055.732465470695,1,8,Moscow region,11
42,43,72,19776.443678516436,1,9,Leningrad region,1
43,44,46,6284.403882827816,1,6,Sverdlovsk region,9
44,45,47,1582.5156202485107,0,5,Novosibirsk region,14
45,46,25,8267.099390506328,1,3,Moscow,8
46,47,45,4712.86138473949,1,10,Moscow region,8
47,48,24,11057.415949130127,1,3,Leningrad region,4
48,49,9,4944.032213587976,1,8,Sverdlovsk region,4
49,50,37,1253.1144914416623,0,6,Novosibirsk region,3
50,51,60,3209.275411902527,0,2,Moscow,12
51,52,61,347.3315263615517,0,1,Moscow region,4
52,53,73,604.0496269970082,0,5,Leningrad region,8
53,54,9,4944.032213587976,1,8,Sverdlovsk region,10
54,55,5,635.7663952132939,0,1,Novosibirsk region,5
55,56,27,995.4748195382215,0,4,Moscow,2
56,57,72,19776.443678516436,1,9,Moscow region,5
57,58,81,815.9342807184619,0,2,Leningrad region,11
58,59,83,225.93281829143814,0,5,Sverdlovsk region,14
59,60,89,2916.673528383257,0,2,Novosibirsk region,5
60,61,57,1250.7300733236812,0,4,Moscow,13
61,62,55,357.57227259671777,0,1,Moscow region,1
62,63,54,131.76052473491197,0,3,Leningrad region,12
63,64,21,116.635777911937,0,6,Sverdlovsk region,7
64,65,67,30.19304199674977,0,6,Novosibirsk region,11
65,66,82,1729.5199502744192,0,3,Moscow,7
66,67,91,2377.0415503557633,0,5,Moscow region,9
67,68,60,3209.275411902527,0,6,Leningrad region,5
68,69,94,497.7333279441067,0,3,Sverdlovsk region,1
69,70,40,16862.020253670034,1,8,Novosibirsk region,1
70,71,53,20608.7700299446,1,6,Moscow,10
71,72,72,19776.443678516436,1,10,Moscow region,11
72,73,40,16862.020253670034,1,3,Leningrad region,12
73,74,83,225.93281829143814,0,4,Sverdlovsk region,11
74,75,74,15803.664670503786,1,9,Novosibirsk region,14
75,76,33,4806.03792245232,1,9,Moscow,7
76,77,90,4111.041882085058,1,8,Moscow region,14
77,78,21,116.635777911937,0,4,Leningrad region,14
78,79,7,4844.7768573382355,1,8,Sverdlovsk region,8
79,80,99,1017.402259832958,0,1,Novosibirsk region,7
80,81,81,815.9342807184619,0,1,Moscow,7
81,82,92,837.3007368437757,0,3,Moscow region,3
82,83,14,1056.0474726593802,0,3,Leningrad region,7
83,84,50,7574.6620600965925,1,8,Sverdlovsk region,6
84,85,94,497.7333279441067,0,4,Novosibirsk region,1
85,86,3,1259.5067823665365,0,3,Moscow,12
86,87,69,1180.2669251895509,0,5,Moscow region,6
87,88,53,20608.7700299446,1,4,Leningrad region,10
88,89,80,2841.394938277023,0,5,Sverdlovsk region,4
89,90,16,5771.883307906414,1,7,Novosibirsk region,9
90,91,78,428.5518808724182,0,5,Moscow,11
91,92,57,1250.7300733236812,0,4,Moscow region,10
92,93,14,1056.0474726593802,0,4,Leningrad region,2
93,94,16,5771.883307906414,1,8,Sverdlovsk region,5
94,95,23,1359.1018453504219,0,5,Novosibirsk region,2
95,96,2,3351.826048509307,0,6,Moscow,13
96,97,47,1582.5156202485107,0,6,Moscow region,9
97,98,77,16405.18138236295,1,3,Leningrad region,7
98,99,55,357.57227259671777,0,5,Sverdlovsk region,9
99,100,53,20608.7700299446,1,10,Novosibirsk region,9
100,101,38,11061.179429889095,1,8,Moscow,3
101,102,55,357.57227259671777,0,4,Moscow region,3
102,103,20,868.5765842056575,0,5,Leningrad region,2
103,104,52,2884.931130543534,0,3,Sverdlovsk region,1
104,105,89,2916.673528383257,0,3,Novosibirsk region,3
105,106,36,260.2967766012207,0,3,Moscow,12
106,107,22,8658.54681068168,1,5,Moscow region,13
107,108,1,3440.1265150597756,0,3,Leningrad region,7
108,109,49,1079.8649953162285,0,6,Sverdlovsk region,3
109,110,13,3820.9618394109816,1,4,Novosibirsk region,10
110,111,29,2654.7088415145663,0,4,Moscow,12
111,112,10,930.2902909719237,0,3,Moscow region,14
112,113,69,1180.2669251895509,0,1,Leningrad region,8
113,114,32,1664.396055731571,0,1,Sverdlovsk region,9
114,115,20,868.5765842056575,0,3,Novosibirsk region,4
115,116,87,3288.7307590781784,0,1,Moscow,4
116,117,27,995.4748195382215,0,3,Moscow region,6
117,118,23,1359.1018453504219,0,5,Leningrad region,5
118,119,67,30.19304199674977,0,1,Sverdlovsk region,13
119,120,34,1835.1835368623247,0,6,Novosibirsk region,11
120,121,80,2841.394938277023,0,1,Moscow,1
121,122,53,20608.7700299446,1,7,Moscow region,8
122,123,57,1250.7300733236812,0,6,Leningrad region,7
123,124,16,5771.883307906414,1,7,Sverdlovsk region,1
124,125,69,1180.2669251895509,0,3,Novosibirsk region,3
125,126,47,1582.5156202485107,0,2,Moscow,14
126,127,27,995.4748195382215,0,3,Moscow region,12
127,128,92,837.3007368437757,0,3,Leningrad region,3
128,129,60,3209.275411902527,0,4,Sverdlovsk region,12
129,130,9,4944.032213587976,1,6,Novosibirsk region,14
130,131,87,3288.7307590781784,0,1,Moscow,8
131,132,53,20608.7700299446,1,8,Moscow region,4
132,133,17,1507.195900611043,0,1,Leningrad region,9
133,134,63,301.48130882130977,0,6,Sverdlovsk region,11
134,135,55,357.57227259671777,0,6,Novosibirsk region,13
135,136,9,4944.032213587976,1,8,Moscow,7
136,137,74,15803.664670503786,1,4,Moscow region,4
137,138,46,6284.403882827816,1,3,Leningrad region,9
138,139,1,3440.1265150597756,0,6,Sverdlovsk region,11
